PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_T_1,ConditionNorm_N41_T_2,ConditionNorm_N41_T_3,ConditionNorm_N41_T_4,ConditionNorm_N41_T_5,MedianConditionNormN41N,MedianConditionNormN41T,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,N41N_Undetected,N41T_Undetected,LysoAssociated,LiveAssociated,NES
Q9H6K5,PRR36,PRR36_HUMAN,,,Proline-rich protein 36,,0.065506497,0.087140371,0.068258448,0.134216198,0.048561966,0.10780528,0.139698773,0.034854775,0.029551743,0.084162095,0.048561966,-0.016414615,0.080301815,-0.625943885,0.547855062,0.660851676,-8.305658444,"132,748",0.179896004,8,0,0,,,1
Q7RTP6,MICAL3,MICA3_HUMAN,"cell cortex [GO:0005938]; cell projection [GO:0042995]; cytosol [GO:0005829]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle [GO:0005819]; actin binding [GO:0003779]; FAD binding [GO:0071949]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; actin filament depolymerization [GO:0030042]; cell cycle [GO:0007049]; cell division [GO:0051301]; cytoskeleton organization [GO:0007010]; exocytosis [GO:0006887]; oxidation-reduction process [GO:0055114]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15694364}. Cytoplasm, cell cortex {ECO:0000269|PubMed:21596566}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:15694364}. Nucleus {ECO:0000269|PubMed:24440334}. Midbody {ECO:0000269|PubMed:27528609}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:27528609}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000305|PubMed:26485645}. Note=Mainly localizes in the nucleus. {ECO:0000269|PubMed:24440334}.",[F-actin]-monooxygenase MICAL3 (EC 1.14.13.225) (Molecule interacting with CasL protein 3) (MICAL-3),GO:0003779; GO:0005634; GO:0005654; GO:0005819; GO:0005829; GO:0005886; GO:0005938; GO:0006887; GO:0007010; GO:0007049; GO:0016709; GO:0030042; GO:0030496; GO:0042995; GO:0046872; GO:0051301; GO:0055114; GO:0071949,0.044982864,0.098918938,0.119638306,0.073207426,0.090865802,0.080404725,0.079496347,0.047689975,0.042281067,0.048906774,0.079496347,0.009082897,0.063606135,0.573532824,0.581198489,0.69527251,-8.339355972,"224,295",0.157844942,28,0,0,,,1
P24821,TNC,TENA_HUMAN,basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; interstitial matrix [GO:0005614]; membrane [GO:0016020]; syndecan binding [GO:0045545]; bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular protein metabolic process [GO:0044267]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; extracellular matrix organization [GO:0030198]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; odontogenesis of dentin-containing tooth [GO:0042475]; osteoblast differentiation [GO:0001649]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; post-translational protein modification [GO:0043687]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; response to wounding [GO:0009611]; wound healing [GO:0042060],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.",Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C),GO:0001649; GO:0005576; GO:0005604; GO:0005614; GO:0005615; GO:0005788; GO:0005925; GO:0007155; GO:0007162; GO:0007528; GO:0008284; GO:0009611; GO:0009612; GO:0010628; GO:0014012; GO:0016020; GO:0030198; GO:0031012; GO:0042060; GO:0042475; GO:0043687; GO:0044267; GO:0045471; GO:0045545; GO:0060447; GO:0060739; GO:0060740; GO:0062023; GO:0071300; GO:0071305; GO:0071774; GO:0071799,0.026425233,1.00E-07,1.00E-07,0.033689858,1.00E-07,1.00E-07,0.088258255,0.000193398,0.047930706,0.01670686,0.000193398,-0.013718698,0.034135861,-0.548995606,0.59718906,0.71108951,-8.354196031,"240,853",0.148075728,29,0,2,,1,1
P50749,RASSF2,RASF2_HUMAN,condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; kinetochore [GO:0000776]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; protein kinase activity [GO:0004672]; bone remodeling [GO:0046849]; cell cycle [GO:0007049]; epidermal growth factor receptor signaling pathway via I-kappaB kinase/NF-kappaB cascade [GO:0038168]; homeostasis of number of cells [GO:0048872]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; ossification [GO:0001503]; positive regulation of apoptotic process [GO:0043065]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of protein kinase activity [GO:0045860]; protein stabilization [GO:0050821]; regulation of osteoblast differentiation [GO:0045667]; regulation of osteoclast differentiation [GO:0045670]; skeletal system development [GO:0001501],"SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:20813266}. Note=Translocates to the cytoplasm in the presence of STK3/MST2 AND STK4/MST1.",Ras association domain-containing protein 2,GO:0000776; GO:0000777; GO:0001501; GO:0001503; GO:0004672; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0007049; GO:0031954; GO:0032991; GO:0033137; GO:0038168; GO:0043065; GO:0045667; GO:0045670; GO:0045860; GO:0046330; GO:0046849; GO:0048872; GO:0050821; GO:1901223,0.106743141,0.023914954,0.184321185,0.098560538,0.090775279,0.157523499,0.129691879,0.153114235,0.070980328,0.133120289,0.129691879,0.014202365,0.113315861,0.529972145,0.609747931,0.72413601,-8.365285271,"37,790",0.140179855,11,0,0,,,1
Q8IVF2,AHNAK2,AHNK2_HUMAN,costamere [GO:0043034]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; Z disc [GO:0030018],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,Protein AHNAK2,GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0030018; GO:0030315; GO:0030659; GO:0042383; GO:0043034,0.233111877,0.111009077,0.260039203,0.224657173,0.034440901,1.00E-07,0.16889914,0.000769669,1.00E-07,0.002615954,0.000769669,-0.025615936,0.05362995,-0.475935609,0.646162293,0.762237377,-8.394777828,"616,629",0.117909759,31,2,2,,,1
Q96K83,ZNF521,ZN521_HUMAN,"nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein domain specific binding [GO:0019904]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; neuron fate commitment [GO:0048663]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,Zinc finger protein 521 (Early hematopoietic zinc finger protein) (LYST-interacting protein 3),GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0019904; GO:0046872; GO:0048663,0.048403719,0.025927248,0.012219886,1.00E-07,0.148967228,0.00518535,1.00E-07,0.000574193,1.00E-07,1.00E-07,0.000574193,0.01379045,0.024050169,0.447455372,0.665776019,0.781883027,-8.409113207,"147,866",0.106858214,14,3,2,,,1
Q9UPA5,BSN,BSN_HUMAN,axon [GO:0030424]; cell junction [GO:0030054]; cell surface [GO:0009986]; cytoskeleton of presynaptic active zone [GO:0048788]; dendrite [GO:0030425]; excitatory synapse [GO:0060076]; neuron projection terminus [GO:0044306]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; presynaptic active zone [GO:0048786]; metal ion binding [GO:0046872]; chemical synaptic transmission [GO:0007268]; presynapse to nucleus signaling pathway [GO:0099526]; protein localization to synapse [GO:0035418]; synapse assembly [GO:0007416],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell junction, synapse, synaptosome {ECO:0000250}. Cytoplasm, cytoskeleton. Note=Localized to the active zone of presynaptic density. {ECO:0000250}.",Protein bassoon (Zinc finger protein 231),GO:0005634; GO:0007268; GO:0007416; GO:0009986; GO:0014069; GO:0030054; GO:0030424; GO:0030425; GO:0035418; GO:0044306; GO:0046872; GO:0048786; GO:0048788; GO:0060076; GO:0099526,0.554501992,0.575025021,0.571320079,0.388724389,0.020215918,0.095950777,0.015068282,0.169505289,0.077369233,1.00E-07,0.077369233,-0.031465926,0.091354863,-0.423841034,0.682247727,0.798691122,-8.420359165,"416,469",0.097621143,29,3,0,,,1
P26378,ELAVL4,ELAV4_HUMAN,AU-rich element binding [GO:0017091]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA processing [GO:0006396],,ELAV-like protein 4 (Hu-antigen D) (HuD) (Paraneoplastic encephalomyelitis antigen HuD),GO:0003723; GO:0003730; GO:0006396; GO:0006397; GO:0017091,0.279186091,0.047894425,0.077111234,0.08105353,0.468573984,0.040638993,0.084910116,0.055724649,0.217523984,0.055532124,0.084910116,0.015978823,0.165484934,0.145658135,0.887600435,0.999239452,-8.507858901,"41,770",0.000330427,3,1,0,,,1
Q9BYV9,BACH2,BACH2_HUMAN,"Cul3-RING ubiquitin ligase complex [GO:0031463]; cytosol [GO:0005829]; nucleus [GO:0005634]; DNA binding transcription factor activity [GO:0003700]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcriptional repressor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0001206]; import into nucleus [GO:0051170]; protein ubiquitination [GO:0016567]; transcription by RNA polymerase II [GO:0006366]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17018862}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978, ECO:0000269|PubMed:17018862}. Note=Nucleocytoplasmic shuttling is controlled by phosphorylation. {ECO:0000269|PubMed:17018862}.",Transcription regulator protein BACH2 (BTB and CNC homolog 2),GO:0000980; GO:0000981; GO:0001206; GO:0003700; GO:0005634; GO:0005829; GO:0006366; GO:0016567; GO:0031463; GO:0051170,0.157580787,1.00E-07,1.00E-07,1.00E-07,0.47921895,0.220713098,0.5024499,0.32362464,0.465839274,0.406312136,0.465839274,-0.01231809,0.404528218,-0.138019131,0.893452372,1,-8.50906706,"92,537",0,9,0,0,,,1
P49257,LMAN1,LMAN1_HUMAN,endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; ER to Golgi transport vesicle membrane [GO:0012507]; extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; host cell perinuclear region of cytoplasm [GO:0044220]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; sarcomere [GO:0030017]; mannose binding [GO:0005537]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]; blood coagulation [GO:0007596]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum organization [GO:0007029]; ER to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; negative regulation of protein targeting to mitochondrion [GO:1903215]; positive regulation of organelle organization [GO:0010638]; protein folding [GO:0006457]; protein transport [GO:0015031],SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment membrane; Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass membrane protein. Endoplasmic reticulum membrane; Single-pass type I membrane protein.,Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1),GO:0000139; GO:0005537; GO:0005789; GO:0005793; GO:0006457; GO:0006888; GO:0007029; GO:0007030; GO:0007596; GO:0010638; GO:0012507; GO:0015031; GO:0016020; GO:0016021; GO:0030017; GO:0033116; GO:0044220; GO:0046872; GO:0048208; GO:0051082; GO:0070062; GO:1903215,0.003663397,1.00E-07,0.009025567,0.004156347,1.00E-07,1.00E-07,0.01705512,0.006218394,0.032971047,0.013287706,0.006218394,-0.000721285,0.011609595,-0.098661778,0.92370344,1,-8.514263982,"57,549",0,23,1,2,,1,1
Q8WUI4,HDAC7,HDAC7_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; histone deacetylase complex [GO:0000118]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 14-3-3 protein binding [GO:0071889]; activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; repressing transcription factor binding [GO:0070491]; SUMO transferase activity [GO:0019789]; transcription corepressor activity [GO:0003714]; cell-cell junction assembly [GO:0007043]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; transcription, DNA-templated [GO:0006351]; vasculogenesis [GO:0001570]","SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=In the nucleus, it associates with distinct subnuclear dot-like structures. Shuttles between the nucleus and the cytoplasm. Treatment with EDN1 results in shuttling from the nucleus to the perinuclear region. The export to cytoplasm depends on the interaction with the 14-3-3 protein YWHAE and is due to its phosphorylation.",Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a),GO:0000118; GO:0000122; GO:0001570; GO:0003682; GO:0003714; GO:0005080; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006351; GO:0007043; GO:0019789; GO:0019901; GO:0032041; GO:0032703; GO:0033613; GO:0045668; GO:0046872; GO:0070491; GO:0071889; GO:0090050; GO:1901223,0.069930551,0.065561722,0.099541125,0.07698248,0.047854292,0.17753159,0.027669242,0.034642006,0.064280679,0.066144616,0.047854292,-0.002733349,0.071762236,-0.085190301,0.934090768,1,-8.51564673,"102,927",0,11,0,0,,,1
Q9Y3Q0,NAALAD2,NALD2_HUMAN,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; carboxypeptidase activity [GO:0004180]; dipeptidase activity [GO:0016805]; dipeptidyl-peptidase activity [GO:0008239]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; N-formylglutamate deformylase activity [GO:0050129]; serine-type peptidase activity [GO:0008236]; cellular amino acid biosynthetic process [GO:0008652]; neurotransmitter catabolic process [GO:0042135]; proteolysis [GO:0006508],SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q04609}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q04609}.,N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II),GO:0004180; GO:0005886; GO:0006508; GO:0008236; GO:0008237; GO:0008239; GO:0008652; GO:0016021; GO:0016805; GO:0042135; GO:0046872; GO:0050129,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.018362416,0.117157788,1.00E-07,4.05E-05,1.00E-07,1.00E-07,4.05E-05,6.76E-05,0.027078381,0.001965309,0.998477443,1,-8.519698622,"83,592",0,8,4,2,,,1
